pkt_size,duration,seq,ack,label
1253,5.09,75005,38312,1
841,4.85,3149,4319,0
1455,4.15,37895,48004,1
794,2.2,1033,4890,0
1179,4.7,48119,55490,1
632,3.77,9123,6684,0
1196,2.79,97903,61064,1
1191,4.12,8234,4493,0
1075,2.57,77780,13090,1
602,0.49,7139,4028,0
1161,2.57,92239,62421,1
958,3.63,4789,2952,0
1233,7.57,26825,10648,1
933,4.94,8305,4581,0
1513,4.73,18896,33242,1
654,3.8,6648,2488,0
1360,5.22,39705,87634,1
491,2.9,8309,5831,0
1012,6.31,94833,38411,1
504,0.67,3607,7364,0
1047,4.53,84976,30766,1
499,2.2,8054,2909,0
1124,3.1,26549,43976,1
925,0.68,8626,8427,0
1393,3.27,87338,52815,1
1272,2.4,4526,3997,0
1591,5.89,58324,74602,1
523,4.29,2133,5835,0
1475,7.17,19807,56333,1
789,4.85,6711,9944,0
1218,6.48,31320,25903,1
843,4.27,3551,2270,0
1164,3.55,39726,44531,1
634,0.61,4243,8488,0
1069,7.77,60123,14696,1
1154,1.54,3228,8007,0
1441,7.35,69733,62743,1
1245,1.5,6822,3865,0
1423,4.09,61111,10902,1
1318,1.39,1532,9220,0
1312,3.76,20882,46099,1
1207,2.9,1155,1089,0
1167,7.1,37906,83047,1
1166,0.96,6532,3489,0
1497,5.14,55334,18381,1
1046,0.69,2095,4184,0
1130,5.46,58841,80946,1
927,0.84,3366,4447,0
1208,2.88,77694,21647,1
1240,4.2,2256,8711,0
1369,4.83,21045,66627,1
692,2.71,8273,1818,0
1173,2.88,50603,70429,1
592,3.33,8365,9719,0
1481,5.37,61405,93070,1
1124,3.09,5430,7917,0
1498,7.61,84941,83112,1
985,2.2,5278,5841,0
1122,2.83,85114,38350,1
966,1.54,9928,5008,0
1034,3.33,48719,91607,1
208,4.54,5841,4652,0
1071,3.32,83178,18974,1
452,3.22,3030,8124,0
1300,6.19,96957,60164,1
307,4.2,1917,6197,0
1182,3.13,80011,13924,1
473,4.35,9855,3565,0
1461,5.75,60706,39682,1
296,3.15,2987,1806,0
1168,6.63,66885,51364,1
1314,2.92,4325,6485,0
1406,7.0,20956,34218,1
499,3.2,2379,8802,0
1524,7.82,73204,57399,1
763,3.9,5258,8251,0
1056,4.68,32658,58013,1
1022,0.39,2502,6168,0
1405,7.12,31044,48770,1
924,2.4,9946,2201,0
1455,3.19,95537,15562,1
725,0.32,9518,4443,0
1332,5.4,20047,97373,1
1070,4.83,5960,1005,0
1554,5.45,78426,41094,1
1117,1.99,7538,6837,0
1288,3.9,79025,99804,1
1242,0.68,6792,6836,0
1532,5.12,55178,16656,1
364,4.25,4113,8472,0
1285,6.05,15029,72755,1
1238,0.92,6127,1480,0
1125,7.61,51662,57163,1
1010,1.11,4739,9676,0
1097,5.55,93480,31121,1
647,1.59,8142,4542,0
1375,7.21,12265,84536,1
1336,1.02,6883,4811,0
1479,6.94,96859,59215,1
641,2.08,1891,3971,0
1496,4.04,71178,92721,1
776,3.05,4118,2506,0
1008,6.66,78258,69557,1
1317,2.97,3956,3033,0
1349,5.28,56450,98529,1
857,4.75,5510,5765,0
1515,5.4,79556,97804,1
950,4.42,1723,7420,0
1196,4.99,70465,65160,1
375,1.11,2490,7941,0
1488,3.76,53779,38968,1
995,0.35,1019,2101,0
1484,5.41,22896,78978,1
911,3.93,2880,4247,0
1588,5.25,34725,60549,1
775,1.78,5434,3202,0
1209,4.97,46219,73546,1
691,4.02,9680,6222,0
1069,6.53,10112,86056,1
1195,4.41,9136,2598,0
1551,7.64,78335,60091,1
710,0.63,8155,3839,0
1247,3.88,56852,52761,1
1304,0.69,9581,9222,0
1439,6.13,98617,19407,1
561,3.86,9672,5345,0
1110,7.24,47435,75357,1
710,4.16,4298,8031,0
1563,6.56,63290,91780,1
453,3.79,6324,8509,0
1307,3.73,96705,15056,1
289,2.49,5131,4357,0
1101,3.71,23394,88548,1
1041,1.41,3362,2256,0
1006,2.94,35947,44202,1
263,3.73,8566,4942,0
1121,6.19,84759,26635,1
812,2.56,9786,5124,0
1225,5.21,30798,11802,1
661,2.06,8361,1618,0
1030,4.84,40999,55097,1
478,2.6,9087,7294,0
1271,4.14,56055,72211,1
922,2.44,1569,9917,0
1553,6.03,56610,60336,1
828,2.79,6568,1501,0
1011,3.7,14906,44248,1
868,0.37,5873,1740,0
1353,4.62,97645,80221,1
952,2.41,8301,6278,0
1142,4.09,69786,72204,1
400,4.83,2717,5656,0
1539,6.47,49566,81357,1
366,2.37,8543,1239,0
1068,6.84,89000,92022,1
465,1.63,1414,8614,0
1392,7.31,14773,81013,1
1007,2.94,4244,3988,0
1396,5.32,35030,42350,1
521,1.41,8829,8308,0
1305,3.45,72081,92432,1
1210,0.57,7639,6851,0
1136,2.73,83923,32367,1
414,2.76,4742,9806,0
1076,5.27,53038,40775,1
1266,2.96,3759,5641,0
1136,5.54,87721,69317,1
853,1.27,9665,1766,0
1446,3.84,29662,27302,1
1249,4.13,3386,1428,0
1394,5.79,35205,63777,1
690,1.07,9265,2344,0
1555,7.71,89072,13257,1
345,1.3,1202,7090,0
1483,3.84,42570,86567,1
1173,3.51,9064,9978,0
1431,6.21,64927,17351,1
369,4.86,1660,1528,0
1561,6.81,55775,26797,1
363,0.43,5106,4439,0
1103,5.41,99528,93448,1
615,1.92,5879,6279,0
1403,3.74,44811,88656,1
835,1.54,6796,3603,0
1208,3.68,66079,54231,1
375,0.73,7077,5052,0
1124,4.76,96536,27837,1
433,4.66,1682,7638,0
1146,6.79,73267,47552,1
930,0.96,1965,1488,0
1090,6.83,36991,55454,1
964,1.0,6938,5848,0
1325,6.58,29687,58636,1
1032,2.31,2230,7139,0
1169,2.68,83678,27909,1
1105,0.9,2028,3601,0
1346,2.82,80264,94988,1
761,3.4,8868,1611,0
1048,4.13,32627,26381,1
310,0.65,6231,7368,0
1524,5.09,93364,14220,1
1218,1.68,6339,8888,0
1510,4.69,10516,27154,1
1061,2.17,5189,6408,0
1565,7.54,66309,51776,1
1123,1.25,5750,8303,0
1109,6.88,72062,38779,1
970,1.75,2594,7944,0
1001,5.11,61060,68225,1
853,3.89,6372,7436,0
1342,7.67,48678,89959,1
1277,3.24,8639,2009,0
1250,4.62,52256,38591,1
961,4.89,1120,3803,0
1178,3.3,91253,12761,1
671,1.17,9601,1521,0
1342,4.24,87585,11313,1
690,1.35,8319,5473,0
1548,6.93,62269,59976,1
544,1.32,4076,7243,0
1563,3.73,80544,16007,1
1388,3.49,6026,3602,0
1503,5.42,85316,11826,1
612,0.38,1798,4648,0
1073,7.05,25596,90710,1
649,4.56,5852,1480,0
1591,4.98,24148,15441,1
675,2.94,7248,7887,0
1600,4.56,58188,59266,1
335,1.62,8171,7965,0
1582,5.33,93422,95136,1
1224,4.68,9600,5277,0
1505,5.58,24249,60782,1
297,1.41,3945,1031,0
1433,5.0,34807,37577,1
683,1.67,5675,5976,0
1189,3.72,81320,74801,1
232,1.05,9074,1596,0
1308,7.57,34153,77997,1
703,3.13,2975,5075,0
1001,5.07,80192,23014,1
283,4.16,2851,3108,0
1017,4.15,67611,30124,1
1039,3.7,2776,7350,0
1426,5.31,13464,54919,1
228,2.3,4084,6555,0
1447,5.25,97479,78748,1
401,0.96,4472,3709,0
1414,3.37,56399,24797,1
1318,1.19,8523,2581,0
1513,3.89,76159,37606,1
668,1.53,1121,7017,0
1579,5.83,83936,14112,1
321,0.55,1792,9328,0
1028,4.58,64631,15647,1
1066,2.93,3272,5189,0
1473,5.98,47885,93958,1
1014,4.14,7760,9262,0
1585,4.53,97080,81393,1
344,3.09,4906,1670,0
1269,4.23,13835,98398,1
764,3.41,1390,3990,0
1436,6.86,23296,41340,1
364,1.99,9337,6934,0
1335,5.11,28605,31785,1
886,1.67,4821,5367,0
1416,5.26,34001,40981,1
331,4.78,6730,7876,0
1179,5.54,83149,42728,1
669,2.84,2230,6408,0
1449,7.96,69712,31376,1
676,0.66,7406,5488,0
1272,7.22,63147,18228,1
692,4.2,5529,1612,0
1262,4.32,89142,72720,1
989,4.39,1920,9562,0
1296,4.44,51678,60217,1
327,4.0,3445,3083,0
1112,5.46,29323,12523,1
452,2.3,4154,2967,0
1298,5.16,76559,57593,1
1347,0.82,9248,2255,0
1554,6.67,50911,78598,1
1030,2.64,6065,7055,0
1230,7.71,42255,11254,1
297,4.95,6723,1293,0
1198,7.81,38868,87370,1
607,2.09,8171,7931,0
1172,7.27,45893,96878,1
1059,4.51,4315,1020,0
1451,3.99,40070,99206,1
1207,1.73,6459,4007,0
1272,5.28,44783,46751,1
914,2.49,3072,6687,0
1080,3.4,57908,63098,1
721,4.68,5224,7965,0
1185,4.19,48147,65804,1
1216,3.03,9713,8481,0
1234,6.45,99335,74041,1
979,4.33,1477,5625,0
1379,4.64,62389,47679,1
781,2.38,7071,4138,0
1257,2.84,36824,64135,1
1288,2.22,6740,1129,0
1023,3.18,74483,81846,1
1137,4.4,7955,5718,0
1176,5.02,57295,59686,1
406,4.55,4541,3708,0
1590,7.23,40525,51765,1
606,4.78,9210,6396,0
1419,4.0,37721,36838,1
470,4.68,3851,7359,0
1134,2.84,60928,29076,1
528,2.36,7469,3010,0
1440,7.65,65905,36272,1
970,4.6,2282,4874,0
1244,6.48,30353,89220,1
1344,2.3,3621,2754,0
1001,6.35,87714,51766,1
1001,0.56,6731,1423,0
1352,4.45,13255,69016,1
698,2.55,4906,6962,0
1498,6.02,17652,11496,1
234,2.38,5413,8889,0
1111,7.51,99235,35883,1
557,3.49,2983,9475,0
1176,5.35,75275,66806,1
1074,1.76,2059,7955,0
1255,4.03,68117,13813,1
460,4.28,1798,2367,0
1049,7.29,45069,33889,1
1270,2.98,3735,8062,0
1253,5.7,16317,57955,1
1179,0.99,8807,2355,0
1501,6.29,77993,46653,1
1203,0.56,1924,8216,0
1150,5.39,29446,55418,1
489,1.67,7024,1708,0
1187,4.01,47296,93727,1
696,3.06,2546,6517,0
1108,3.35,14333,72855,1
374,2.36,4432,6163,0
1289,5.06,22813,99718,1
1046,1.68,3705,4480,0
1007,2.52,14195,89677,1
1344,3.83,5094,5975,0
1110,2.6,73199,35008,1
1057,4.36,6022,5947,0
1144,4.98,77780,97186,1
378,1.56,5068,9285,0
1241,3.44,25160,85401,1
1242,2.03,8088,5399,0
1156,6.61,63597,44432,1
413,0.47,8653,2587,0
1121,4.77,74677,88961,1
391,1.9,9461,2161,0
1042,4.61,66904,40049,1
1288,0.88,9188,6038,0
1303,3.17,94261,44304,1
1362,0.39,5914,7204,0
1349,3.3,13042,96858,1
1388,0.84,9015,2094,0
1598,5.66,95178,62914,1
325,4.42,3978,2200,0
1284,6.39,99491,79628,1
1113,1.8,4634,9443,0
1463,6.98,57757,32391,1
1117,0.45,9386,7771,0
1226,6.77,61356,42107,1
817,4.82,1912,2459,0
1065,3.18,51349,65029,1
1288,0.84,8878,6430,0
1360,6.11,15763,13966,1
1266,2.11,4424,2262,0
1521,3.19,25623,27425,1
1271,0.33,9459,2644,0
1109,5.41,54585,47562,1
815,4.61,9916,8311,0
1263,3.36,19510,88414,1
1378,4.39,3781,9976,0
1166,2.62,79205,93585,1
1045,1.52,5634,6608,0
1204,3.61,69954,68024,1
855,1.06,9351,3074,0
1341,6.63,86624,69298,1
651,0.46,4777,1451,0
1389,7.46,33018,79550,1
537,1.18,4608,7561,0
1325,3.67,73148,27102,1
207,3.14,8890,7420,0
1108,7.11,90639,67387,1
714,3.41,9137,1941,0
1220,7.86,61298,83985,1
311,3.61,4077,2913,0
1187,7.96,82706,17500,1
777,2.85,4972,3525,0
1405,7.09,40427,96272,1
1337,2.37,3146,6407,0
1222,2.99,28022,28411,1
412,0.75,1253,6384,0
1081,4.97,62243,24256,1
871,1.48,3522,9086,0
1066,7.54,20225,16878,1
649,4.5,3972,6269,0
1149,5.85,60653,40359,1
310,3.63,6949,7989,0
1043,4.09,77623,28843,1
667,0.89,2993,5310,0
1350,5.31,67636,87194,1
586,1.48,4323,3543,0
1241,4.13,60270,89069,1
1018,4.41,4764,7622,0
1261,4.19,18898,37623,1
719,0.8,1528,1184,0
1183,7.07,54505,23152,1
592,0.63,6655,5777,0
1160,4.4,29306,94996,1
404,2.0,6010,1171,0
1258,4.96,18975,61330,1
1272,4.27,4865,3403,0
1342,7.45,10113,47493,1
1064,3.3,1295,9531,0
1020,3.55,87532,81301,1
1218,0.85,6209,5836,0
1330,2.77,59906,41752,1
1308,3.07,4815,8277,0
1097,3.59,98310,36260,1
688,1.22,4858,9604,0
1101,4.33,40411,20706,1
918,4.29,3304,8038,0
1315,3.14,11703,77815,1
1025,2.73,1037,5534,0
1506,3.58,69747,53785,1
1128,4.16,9118,7326,0
1166,3.3,45476,58542,1
915,3.94,7586,6531,0
1076,3.0,32231,62569,1
1129,4.54,4095,9717,0
1226,2.56,53969,57598,1
823,2.83,8631,6802,0
1463,7.67,14039,63025,1
553,2.58,2918,8112,0
1190,3.2,31237,28850,1
980,2.98,9395,6260,0
1456,7.05,41872,76558,1
798,2.01,2039,9474,0
1196,7.78,44931,86947,1
994,1.76,3320,1259,0
1226,3.93,31822,51689,1
463,3.98,3425,8892,0
1402,7.31,51199,92636,1
1370,3.83,4244,7826,0
1364,7.99,32352,49942,1
278,2.01,1234,6622,0
1305,3.74,18835,47453,1
503,3.84,9045,3885,0
1460,4.43,77390,25118,1
1034,2.95,2296,1788,0
1386,3.35,47055,30877,1
253,4.86,2115,2165,0
1042,5.42,25780,27456,1
338,0.38,4330,5152,0
1512,7.28,78416,51389,1
724,0.84,9355,5059,0
1038,5.13,32737,31086,1
1317,2.76,5342,6476,0
1105,4.43,49020,29191,1
1176,0.44,2025,2094,0
1498,6.06,73859,92720,1
1193,1.88,7864,4421,0
1391,5.74,66619,19232,1
